name,ttl,type,value
"redemptionrd.shop","3600","NETLIFY","inquisitive-frangollo-6ef44e.netlify.app"
"www.redemptionrd.shop","3600","NETLIFY","inquisitive-frangollo-6ef44e.netlify.app"
