"SourcePath","IsShortcut","ShortcutTarget","Exists","SizeBytes","Hash","Instrument","IsBand","ProposedPath","DuplicateGroupId","IsInConsolidated","ProposedAction"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0992.mp3","False",,"True","414489","2B906A8FECF23A858EC1BD0C859C79389AD1CB9A","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0992.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0992_alt.mp3","False",,"True","389964","F1FEFBF40F823C64DD3F3875896172EBB2B03568","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0992_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0993.mp3","False",,"True","321974","EC6A4B28C40388160EF69B1FC338F48645726A65","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0993.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0993_alt.mp3","False",,"True","303193","D3AD9920DFE8232E3E7E5264774014AB09FA62FC","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0993_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0994.mp3","False",,"True","380697","9026E983983BA7B84B451345FA3AC475E7843DF9","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0994.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0994_alt.mp3","False",,"True","350087","A77ABE1333A55E081252574384219ECFE10A13BE","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0994_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0995.mp3","False",,"True","344262","884F1543E98A4EB6979F6C1552D96D26C52C2590","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0995.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0995_alt.mp3","False",,"True","325303","91E30A9D6771C7D1FDB1B98DB80B01EACBD65BCF","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0995_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0996.mp3","False",,"True","487017","B33CC54F920C5548187BDB8D763488FCF16D1DA7","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0996.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0996_alt.mp3","False",,"True","437546","775D5406F848D20BFEF85B960513AB2C49ED9C23","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0996_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0997.mp3","False",,"True","346471","D28CFC8D17BA78D0DFDFA39378AAB18FC036C85C","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0997.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0997_alt.mp3","False",,"True","363104","975D2CBA45B8181210BE4FDD39E20A80961AE7B9","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0997_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0998.mp3","False",,"True","324742","33CFB14E6C7B5BF068491CF404E58B080E45C0CA","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0998.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0998_alt.mp3","False",,"True","359443","0272526AF3CBEF6AFE78022FBC4AFE3B82A8CB07","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0998_alt.mp3",,"True","Keep"
"C:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0999.mp3","False",,"True","325285","72605E7686E1CDBB1CB3ED6306FA148B70279D56","Playable","False","c:\Users\flana\Downloads\SOTA SYNTH\Consolidated\Instruments\Playable\SN0999.mp3",,"True","Keep"
